-LRB- CNN -RRB- Two CNN Heroes are among the earthquake survivors in Kathmandu , Nepal .   Anuradha Koirala , who rescues victims of sex trafficking , has a rehabilitation center in Kathmandu that is home to 425 young women and girls .   While her primary facility seems structurally unharmed , all of the children have been sleeping outdoors because of aftershocks , followed by a second earthquake on May 12 .
A dominatrix who claims she shared a ` hot , deep kiss ' with Prince Harry during his infamous party night in Vegas three years ago says she felt ` overdressed ' when she saw him playing strip billiards .   Carrie Reichert , 43 , who has previously said she kissed the Prince and has a pair of his underpants she hopes to use in a strip-tease show , has now written a book about the night .   In an excerpt from the upcoming In the Eye of the Royal Story , she says she could n't help but notice how ` adorably cute his naked a ** was ' , The Sun reported .   Ms Reichert went on to claim that alcohol gave her the confidence to approach the Prince before they shared a kiss .
Justin Rose will try to take a leaf out of Rory McIlroy 's book after kickstarting his season with his share of second place in the Masters .   Rose arrived at Augusta National having missed the cut in three of his previous five tournaments on the PGA Tour , but left with renewed enthusiasm and a 14-under-par total which has only been bettered six times in Masters history .   ` I 'm really excited about the rest of the year now .   It 's a good momentum starter for me , ' said Rose , who was looking to become the first European player to win the US Open and Masters . '
A couple who lost their homes and were almost killed in Hurricane Sandy are celebrating a whirlwind of good fortune after winning more than $ 250,000 in the lottery .   Mary Ann Diano was left homeless when the storms hit Staten Island , New York , in October 2012 - but now says because of Hurricane Sandy she has met the love of her life and they are buying their dream home together .   The 62-year-old 's home has lived in a trailer park in Connecticut every since the disaster where she met her partner Dennis Krauss , whose home in Brooklyn , New York , was also destroyed .   Ms Diano 's troubles first began when she stayed at home with her five cats during the storm brought on by Hurricane Sandy , which caused chaos when it hit 24 states in the US .
The life of a 16-year-old girl stabbed to death at a Connecticut school a year ago on the day of prom was celebrated Saturday by hundreds of people with a road race , fried food and live music .   Wearing shirts in Maren Sanchez 's favorite color of purple , the crowd filled a baseball field behind Milford 's Jonathan Law High School , where she was attacked and killed in a hallway on April 25 , 2014 .   A classmate , Christopher Plaskon , has been charged with murder .   After a week of somber remembrances at the school , her classmates and event organizers said the idea was to remember Sanchez on the anniversary of her death as she would have wanted , with smiles and joy . '
Following all his inspired charity work , Didier Drogba has been awarded with a Barclays Spirit of the Game trophy .   The Chelsea forward set up the ` Didier Drogba Foundation in Africa , ' as he hopes to inspire the next generation of footballers in Africa to fall in love with the game .   The 37-year-old , who scored against Leicester on Wednesday , spoke in the video about his experiences growing up in the Ivory Coast and his love for football .   The ` Didier Drogba Foundation , ' contribute financial and material support in education and health including school bags for the school children , as well as a medical clinic in his hometown of Abidjan , Ivory Coast , which will be opening its doors later this year .
By the time Bobby Zamora caressed the ball with sublime precision on the gallop to lob Boaz Myhill from the edge of his area , the impression was firm that even the highly improbable can happen .   This was quite likely the finest goal of Zamora 's long career , a strike of rare quality that never looked on seconds before the ball was in the back of the net .   Chris Ramsey will hope Queens Park Rangers ' season can follow a similarly implausible trajectory .   Written off by many , this victory , only a second on the road all season , claws QPR closer to safety .
Andy Murray arrived back in Britain on Monday restored as world No 3 in the new rankings -- but set aside thoughts of that to focus on his wedding in Dunblane this weekend .   And despite his recent tournament finishes getting him back near the top of the game , the 27-year-old Scot confirmed it will be a down-to-earth guest list when he marries fiancée Kim Sears in his hometown on Saturday .   There are believed to be well over 100 people attending , but star spotters will find celebrities in short supply as the couple focus on celebrating with family and genuine friends .   ` There 'll be no celebrities as such , I do n't have any celebrity friends so it was n't something that was planned , ' said Murray , before he flew back after his Miami Open final defeat to runaway world No 1 Novak Djokovic on Sunday .
Cuban bikini babe Kathy Ferreiro , 21 , is vying to steal Kim Kardashian 's crown for having the curviest booty in America .   The Miami-based Latina , who has already been dubbed the ` Cuban Kim Kardashian ' by the city 's fashion crowd , is well known for strutting her stuff on the region 's balmy beaches .   She describes herself as a ` mamasota ' , meaning ` hot ' or ` sexy ' in Spanish and is as fond of belfies and selfies as her idol .   Her Instagram profile ` Kathyzworld ' is awash with photos of her working out in the gym and posing next to expensive cars or on speed boats .
Residents living yards from the scene of the # 60million Hatton Garden heist have revealed how they were hit by ` peculiar ' power cuts on the weekend before the daring crime .   They also claim to have heard ` drilling ' noises on the evening of Good Friday , but thought at the time that this was simply a continuation of road works that had been taking place in recent weeks .   Meanwhile it has also been alleged that the thieves returned a day after the initial robbery in central London to steal more loot after becoming ` greedy ' .   Scotland Yard admitted last week that an alarm first went off at the scene after midnight on Good Friday , but it was graded as ` no police response was deemed to be required ' .
-LRB- CNN -RRB- The victory of a 72-year-old former general , Muhammadu Buhari , in the Nigerian elections represents a moment of maturity in West African politics .   Buhari , who some 30 years ago was Nigeria 's harsh military leader , could of course prove to be a disaster ; so many self-described reformers have been .   But the peaceful transition of power from President Goodluck Jonathan to President Buhari is the first of its kind in history .
