the car was unveiled at the shanghai general motors gala night this week .   general motors has unveiled the chevrolet-fnr car ( shown ) .   it has ` dragonfly ' swing doors that open upwards and ` crystal laser headlights '
father-of-two shiraz nawaz said he felt lucky to be alive after the 15-foot flames shot out of the manhole just seconds after he had walked over it in a busy street in the west midlands .   shiraz nawaz , 36 , said he felt lucky to be alive after he narrowly missed being burnt by flames shooting out of the manhole   flames as high as 15ft tall erupted from a manhole in the west midlands just moments after a pedestrian had walked over it
a disgusted member of the public snapped the man on his mobile phone after spotting him using the field as a makeshift toilet .   th clements & son , which owns the field in benington , lincolnshire , was alerted and sacked the worker with immediate effect .   a member of the public took the picture and informed the field owner th clements & son
winchester council in hampshire said its annual clean-up of roads around the city had been hit by new health and safety executive rules designed to protect litter-pickers from traffic .   but the hse denied tightening rules -- and said councils were ` over-interpreting ' legislation .   cpre president sir andrew motion , who is demanding a national clean-up
police say michael scott shemansky came to their attention after he failed to appear for a supervised visit with his son on the same day mother sandra shemansky , 57 , was found dead at the home they shared in winter garden .   michael scott shemansky is on the run after authorities named him as a suspect in the murder of his mother   the body was discovered at the west colonial drive home when an out-of-state family member called in a well-being check .
domenico rancadore , who has lived in britain for more than 20 years , was given a seven-year sentence by an italian court in 1999 for being a member of the cosa nostra .   in february he lost his year-and-a-half battle against extradition and was told he must return to italy to serve his sentence .   but today it emerged that the 65-year-old 's case expired last october and his european arrest warrant is to be withdrawn .
baron the german shepherd was filmed as he helped get the dishes done at home in california .   footage shows the pup reaching up and grabbing rinsed goods between his teeth from the sink , before loading them into the dishwasher .   to date the clip of baron dishwashing has been watched more than 27,000 times .
lindsay sandiford , 58 , from cheltenham , now fears she will be the next to face the firing squad and said she ` feels like giving up ' and ` just wants to get it over with ' .   australians andrew chan , 31 , and myuran sukumaran , 33 , were executed along with six other prisoners by an indonesian firing squad .   she was sentenced to death after indonesian police linked her to almost five kilograms of cocaine
abby bishop 's ( right ) life completely changed when she took in her niece zala ( left )   now zala is 20 months old and she follows bishop as she travels the world playing for professional teams   the basketballer , who lives in canberra , has looked after her niece since she was two days old
the wales forward in action during wigan warriors ' 30-20 victory against warrington last thursday   as his wigan side beat warrington 30-20 , the wales forward made his first appearance since he punched st helens ' lance hohaia in the opening moments of last season 's grand final , earning a six-month ban .   ben flower does not believe he deserved the standing ovation which greeted his return from suspension on thursday night .
armstrong , 26 , pleaded guilty of trying to bring a stun gun , a baton and knuckle dusters back into the uk from cyprus in his luggage ( file picture )   paul armstrong , 26 , of sunderland , flew to cyprus with four friends before beginning his new role as an it project manager .   but after a spending spree on the trip , armstrong was stopped at the airport with the stun gun disguised as a torch , extendable baton and knuckle duster stuffed in his luggage .
olly taylor , 27 , is offering his version the easter feast , which is stuffed with the equivalent of almost 100 teaspoons of sugar , at his black milk cafe in manchester 's northern quarter .   the easter feast breakfast is available at the black milk cereal cafe in manchester 's northern quarter   the breakfast includes two types of cereal served in half an easter egg , with brownies , marshmallows and mini eggs , topped off with three different types of flavoured milk .
google currently boasts a 90 per cent share in europe 's search engine market .   brussels will say that google has used its massive dominance as a search engine to divert internet users from rivals to its own services , which include youtube and the google + social network .   in one of the most high-profile competition cases of recent years , europe could fine google more than # 4 billion amid a wave of political opposition in europe to the perceived dominance of us tech companies .
phil smith , 25 , scaled a fence to try to get in his flat in cottingham , hull , but fell and hit his head .   he was placed in a medically induced coma at hull royal infirmary , but died five days later on april 9 .   the 25-year-old , who worked at a school for disabled children , fractured his skull and suffered a bleed on the brain and a blood clot in the fall .
the tragic fire at bradford city 's valley parade stadium claimed 56 victims and injured 265 on may 11 , 1985   john helm was commentating on bradford city 's game against lincoln city when the fire broke out and still struggles to listen to his description of that fatal day .   there is n't a shred of evidence to suggest anything other than a terrible human tragedy .
the duo were taking part in the first circular soccer showdown of 2015 which mcilroy won 2-1   rory mcilroy ( left ) battled with fifty shades of grey star jamie dornan at a game of circular soccer   mcilroy finished strongly following a slow start to finish an impressive fourth at the masters in augusta
chris christie appeared on the tonight show ( above ) and called out jimmy fallon for his weight jokes about the governor   later in the program he hoarded a pint of ice cream ( above ) fallon brought out for the two to share   after fallon told governor christie he ` looked great , ' the new jersey politician asked him ; ` if i look great , what the hell 's with all the jokes every night ? '
