-LRB- CNN -RRB- Two CNN Heroes are among the earthquake survivors in Kathmandu , Nepal .   Anuradha Koirala , who rescues victims of sex trafficking , has a rehabilitation center in Kathmandu that is home to 425 young women and girls .   While her primary facility seems structurally unharmed , all of the children have been sleeping outdoors because of aftershocks , followed by a second earthquake on May 12 .
Thousands of bacteria colonies were discovered on banknotes and coins chosen at random from scientists ' pockets .   The experiment , which involved treating the coins and notes in a substance that allows bacteria to grow quickly , highlights how dirty handling money can be .   The money was collected from students at the University of Surrey .   It was then submerged in agar - a substance that allows bacteria to grow quickly - and then monitored for three to four days .
With the confirmation of Danilo 's summer switch to Real Madrid , Porto have now received a whopping # 440million from player sales in the last 11 years .   Since winning the Champions League under Jose Mourinho in 2004 the Portuguese champions have made a habit of selling on players for huge profits .   Aided by lenient work permit laws in Portugal owing to the country 's close relationship with Brazil the majority of these deals have involved South Americans .   Nineteen of the 29 players featured in the table below have South American backgrounds such as now-Real Madrid superstar James Rodriguez .
A dominatrix who claims she shared a ` hot , deep kiss ' with Prince Harry during his infamous party night in Vegas three years ago says she felt ` overdressed ' when she saw him playing strip billiards .   Carrie Reichert , 43 , who has previously said she kissed the Prince and has a pair of his underpants she hopes to use in a strip-tease show , has now written a book about the night .   In an excerpt from the upcoming In the Eye of the Royal Story , she says she could n't help but notice how ` adorably cute his naked a ** was ' , The Sun reported .   Ms Reichert went on to claim that alcohol gave her the confidence to approach the Prince before they shared a kiss .
A mother has been arrested for referring to her African-American neighbors as ` apes ' during a dispute over a parking space .   Eva Chapin , 34 , from West Linn , Oregon , was booked into jail after she left a string of offensive post-it notes on the door of the family home .   The qualified nurse referred to the residents , who are believed to have roots in Ghana , as ` n ***** ' but wrote : ' I am not racist ' .   She has been living in the neighborhood for 11 years but now plans to move .
Justin Rose will try to take a leaf out of Rory McIlroy 's book after kickstarting his season with his share of second place in the Masters .   Rose arrived at Augusta National having missed the cut in three of his previous five tournaments on the PGA Tour , but left with renewed enthusiasm and a 14-under-par total which has only been bettered six times in Masters history .   ` I 'm really excited about the rest of the year now .   It 's a good momentum starter for me , ' said Rose , who was looking to become the first European player to win the US Open and Masters . '
A Pole with convictions for violence was on his way to Britain from Calais when he snatched a schoolgirl in front of her mother before raping and murdering her , it emerged today .   Zbigniew Huminski , 38 , has confessed to strangling his nine-year-old victim , identified by her first name of Chloe , yesterday afternoon in France ` while drunk ' .   She was stripped naked and sexually assaulted and after being forced into Huminski 's car and then driven to an isolated wood once used as a camp for illegal migrants bound for the UK .   Chloe 's mother , named only as Isabelle , ` heard her daughter 's screams ' as she was being taken away from outside her school in Calais - but was unable to do anything .
A couple who lost their homes and were almost killed in Hurricane Sandy are celebrating a whirlwind of good fortune after winning more than $ 250,000 in the lottery .   Mary Ann Diano was left homeless when the storms hit Staten Island , New York , in October 2012 - but now says because of Hurricane Sandy she has met the love of her life and they are buying their dream home together .   The 62-year-old 's home has lived in a trailer park in Connecticut every since the disaster where she met her partner Dennis Krauss , whose home in Brooklyn , New York , was also destroyed .   Ms Diano 's troubles first began when she stayed at home with her five cats during the storm brought on by Hurricane Sandy , which caused chaos when it hit 24 states in the US .
Chelsea midfielder Cesc Fabregas took to Instagram to show off the shiners he picked up from Stoke City midfielder Charlie Adam on Saturday .   Jose Mourinho 's side extended their lead at the top of Barclays Premier League to seven points with a 2-1 win but it did n't come without cost for Fabregas .   The former Arsenal and Barcelona ace was left bloodied after being caught by a flailing arm following a tussle with Adam , the scorer of a 66-yard wonder goal .   However , the Spanish international was all smiles on Tuesday as he posted a picture to his Instagram account with the caption : ` Italy with Dr Paco '
The life of a 16-year-old girl stabbed to death at a Connecticut school a year ago on the day of prom was celebrated Saturday by hundreds of people with a road race , fried food and live music .   Wearing shirts in Maren Sanchez 's favorite color of purple , the crowd filled a baseball field behind Milford 's Jonathan Law High School , where she was attacked and killed in a hallway on April 25 , 2014 .   A classmate , Christopher Plaskon , has been charged with murder .   After a week of somber remembrances at the school , her classmates and event organizers said the idea was to remember Sanchez on the anniversary of her death as she would have wanted , with smiles and joy . '
Her neighbour 's leylandii hedge stands 40ft tall and , says Audrey Alexander , has left parts of her garden in deep shade .   Despite a 35-year fight to get the trees cut down to size , the council has ruled they can stay .   It is the final defeat in a battle that involved two generations of Mrs Alexander 's family .   It kicked off 35 years ago when Mrs Alexander 's aunt found her vegetable patch at the property would not grow anything worth eating because of the leylandii .
Out of prison and free to stroll around Ireland 's capital , this is the notorious ` Black Widow ' killer who murdered her husband .   Catherine Nevin was allowed out on day release on Wednesday afternoon despite being jailed for life in April 2000 for arranging to having her publican husband Tom shot dead .   The 62-year-old was permitted to attend an addiction studies course and was pictured leaving Mountjoy prison and making her way from Dublin 's Dochas Centre to the Oblates in the city 's Inchicore suburb .   She walked through the city centre to Dorset Street where she waited for a bus before attending the addiction studies course .
Following all his inspired charity work , Didier Drogba has been awarded with a Barclays Spirit of the Game trophy .   The Chelsea forward set up the ` Didier Drogba Foundation in Africa , ' as he hopes to inspire the next generation of footballers in Africa to fall in love with the game .   The 37-year-old , who scored against Leicester on Wednesday , spoke in the video about his experiences growing up in the Ivory Coast and his love for football .   The ` Didier Drogba Foundation , ' contribute financial and material support in education and health including school bags for the school children , as well as a medical clinic in his hometown of Abidjan , Ivory Coast , which will be opening its doors later this year .
Figures from the Catholic Church show the number of women taking Holy Vows has trebled from 15 in 2009 to 45 last year .   From a low of only seven in 2004 , the figure has been rising for the past decade .   Theodora Hawksley , 29 , was until recently a post-doctoral researcher in theology at the University of Edinburgh .   But at the beginning of the year she decided to become a nun .
By the time Bobby Zamora caressed the ball with sublime precision on the gallop to lob Boaz Myhill from the edge of his area , the impression was firm that even the highly improbable can happen .   This was quite likely the finest goal of Zamora 's long career , a strike of rare quality that never looked on seconds before the ball was in the back of the net .   Chris Ramsey will hope Queens Park Rangers ' season can follow a similarly implausible trajectory .   Written off by many , this victory , only a second on the road all season , claws QPR closer to safety .
The Red Wings ' Drew Miller says he 's eager to hit the ice again just a day after receiving a cut that could have cost him his eyesight . '   I feel very blessed the skate did n't hit my eye , ' Miller said at practice on Wednesday .   Skating with a full face mask during practice , the Detroit forward openly bore a gruesome red wound that required 50 to 60 stitches to close along multiple layers of skin , the Detroit Free Press reports .   The incident occurred shortly after a faceoff during the first period of Tuesday 's game between the Red Wings and the Senators .
Arsenal defender Per Mertesacker has tipped compatriot Jurgen Klopp to make his mark in the Barclays Premier League if he opts to continue his career in England .   Klopp , 47 , announced earlier this week that he would end his seven-year stint at Borussia Dortmund when the current season draws to a close , prompting fresh speculation that he could head for the Premier League .   Manchester City have already indicated that a man who has also been linked with Manchester United and Arsenal in the past , is not in their sights , but Germany international Mertesacker insists Klopp would be a good fit in the English top flight .   But for all that a new challenge lies ahead for Klopp , Mertesacker admits he can not work out what has gone wrong to prompt his exit from Borussia .
Apple made significant improvements to the battery life of its iPhone 6 and 6 Plus , but they still fail to last more than a full day with typical usage .   To address these issues , the tech giant is recruiting for battery and power software experts .   At least nine job listings have been spotted on the firm 's official recruitment site as the company looks to boost the battery across its range of mobiles and laptops .   Apple defines the Apple Watch battery on its Watch product page .
Andy Murray arrived back in Britain on Monday restored as world No 3 in the new rankings -- but set aside thoughts of that to focus on his wedding in Dunblane this weekend .   And despite his recent tournament finishes getting him back near the top of the game , the 27-year-old Scot confirmed it will be a down-to-earth guest list when he marries fiancée Kim Sears in his hometown on Saturday .   There are believed to be well over 100 people attending , but star spotters will find celebrities in short supply as the couple focus on celebrating with family and genuine friends .   ` There 'll be no celebrities as such , I do n't have any celebrity friends so it was n't something that was planned , ' said Murray , before he flew back after his Miami Open final defeat to runaway world No 1 Novak Djokovic on Sunday .
A mother was horrified to find a dead gecko stuck to the lining of a jacket she bought from Asda .   Paula Dunican spent # 25 on the baby blue coat at her local branch in Canterbury , Kent .   But when the 49-year-old took it home to try on , she noticed a dark stain ` seeping through ' from the its lining .   Inside , a four inch-long gecko was flattened , its scales imprinted onto the fabric . '
A former Eurovision contestant running for parliament could still be elected as an MP despite dying two days ago .   Ronnie Carroll died just days after successfully getting on the General Election ballot paper for Hampstead and Kilburn , where his name will remain for the election .   Due to stand as an independent , Mr Carroll was 80 and had contested elections before , winning 29 votes in the Haltemprice and Howden by-election - despite campaigning for a record score of 0 .   An Electoral Commission spokesperson told The Sun Mr Carroll could still potentially win , although the vote would be declared void and a new candidate sought .
The disgraced ESPN sports reporter has been suspended for a week since footage emerged showing her unleash a vicious verbal attack on a single mother-of-three at a towing firm .   Her car had been towed from the parking lot of a Chinese restaurant in Virginia , where she left it overnight on Easter Weekend .   When she picked it up , infuriated , she resorted to insulting the employee 's looks , intelligence , and social status .   But despite viewers ' calls for harsher punishment , the network has reinstated the 28-year-old to her role with a spot on SportsCenter this weekend .
A mum who says she felt like a ` rabbit in headlights ' after having her first child has designed an app to guide mothers through pregnancy and early motherhood , which even tells breastfeeding mothers which boob to use next .   Chloe Owens , 27 , from Swanley , Kent , came up with the idea for Bump 2 Breast when she was pregnant with daughter Lola , now three months old .   Like most first-time mums , Chloe and husband David , had no idea what to expect when they brought their first child home from hospital .   The app , which is available on all mobile platforms , has already been downloaded 20,000 times and is getting rave reviews .
It 's a question explored by BBC documentary Inside Harley Street which interviews some of the patients paying thousands for private cosmetic treatments .   Harley Street is in an affluent part of London and it 's famed for attracting business from those who do n't have to consider the cost .   Michael , has spent # 7,500 on a hair transplant which he believes will boost his self-esteem and happiness .   His mother , Joy , who never spends money on herself and wears # 5.99 shoes from Oxfam , is amazed her son is prepared to spend so much on changing his appearance .
Called the Chevrolet-FNR , it boasts a futuristic capsule design among other interesting features .   The car was unveiled at the Shanghai General Motors Gala Night this week .   It was developed in Shanghai by GM 's Pan Asia Technical Automotive Centre -LRB- PATAC -RRB- joint venture .   Chevrolet said the car offered a ` glimpse at mobility of the future . '
The televised debate between Democratic candidates running for mayor of Philadelphia came to a crashing halt on Tuesday , when 74-year-old Lynne Abraham collapsed on stage .   It was only 10 minutes into the hour-long debate when Abraham was heard falling as Senator Anthony Williams answered a question , and the camera panned over to see the former Philadelphia District Attorney lying helpless on the floor .   Mayoral candidate Nelson Diaz quickly came to Abraham 's aide and helped her stand up when she regained consciousness .   The debate was paused as a doctor evaluated Abraham backstage and told her she probably suffered from a sudden drop in blood pressure due to the unforgiving stage lights .
A Texas highway was thrown into chaos on Friday when the door of Brinks Armored Truck flew open , causing money to spill onto the road .   Drivers pulled over on Interstate 20 in Albilene , Texas , got out of their cars and walked toward oncoming traffic to pick up the cash .   A video posted on Facebook shows motorists frantically grabbing the notes in between stopped vehicles , while others were forced to slow down and veer out of the way .   The passenger door of the truck somehow opened as it was moving causing a plastic bag with a ` substantial amount of money ' to be blown out .
The BBC has apologised and admitted the fell victim to a hoaxer who appeared on the World Service claiming the Star Wars films are anti-women , anti-gay and said Darth Vader listens to rap music .   Godfrey Elfwick was recruited via Twitter to appear on the programme World Have Your Say , where producers were preparing an item about the trailer for the new film in the franchise .   In particular , the programme were looking for people who had never seen any of the films to watch them and give their assessment .   However , despite the fact that Mr Elfwick 's Twitter bio states that he is a ` demisexual genderqueen Muslim atheist ' he was still invited on to the programme .
Cuban bikini babe Kathy Ferreiro , 21 , is vying to steal Kim Kardashian 's crown for having the curviest booty in America .   The Miami-based Latina , who has already been dubbed the ` Cuban Kim Kardashian ' by the city 's fashion crowd , is well known for strutting her stuff on the region 's balmy beaches .   She describes herself as a ` mamasota ' , meaning ` hot ' or ` sexy ' in Spanish and is as fond of belfies and selfies as her idol .   Her Instagram profile ` Kathyzworld ' is awash with photos of her working out in the gym and posing next to expensive cars or on speed boats .
Twitter suspended more than 10,000 accounts linked to Islamic State militants and their supporters in a single 24-hour period in a fresh crackdown on those ` tweeting violent threats ' .   Jihad-watchers noticed thousands of accounts vanishing from the social network last week , most of them claiming to be linked to the extremists currently terrorising vast swathes of the Middle East .   Now , after questions were asked about what led to the largest ever one-off cull of ISIS-affiliated accounts , Twitter has confirmed that its purge was prompted because they were being used by tech-savvy jihadis to issue threats of violence .   Twitter does not publish data related to the accounts it suspends , but NDTV Gadgets reported that the social network 's so-called ` violations department ' suspended approximately 10,000 accounts used by ISIS militants or supporters of the terror group on April 2 .
Residents living yards from the scene of the # 60million Hatton Garden heist have revealed how they were hit by ` peculiar ' power cuts on the weekend before the daring crime .   They also claim to have heard ` drilling ' noises on the evening of Good Friday , but thought at the time that this was simply a continuation of road works that had been taking place in recent weeks .   Meanwhile it has also been alleged that the thieves returned a day after the initial robbery in central London to steal more loot after becoming ` greedy ' .   Scotland Yard admitted last week that an alarm first went off at the scene after midnight on Good Friday , but it was graded as ` no police response was deemed to be required ' .
This is the incredible moment a man narrowly missed being burnt alive by a massive fireball which erupted from the pavement .   Father-of-two Shiraz Nawaz said he felt lucky to be alive after the 15-foot flames shot out of the manhole just seconds after he had walked over it in a busy street in the West Midlands .   The 36-year-old had been on his way to his local takeaway when he heard buzzing from the ground just a few feet behind him .   The smoke was followed by a huge blast of flame which shot out 15-foot of the ground on the pedestrian walkway .
A 12-year-old Israeli girl is missing after a tour boat she was on exploded and caught fire off Thailand 's southwestern coast on its way to Phuket .   The youngster was thought to have been in the toilet on board the Ao Nang Princess 5 ferry which was carrying more than 100 people , including many foreign tourists , when the incident happened at around 3.30 pm local time .   Passengers were throwing themselves into the Andaman Sea after the engine exploded and flames ripped through the boat , according to the Bangkok Post .   Photos taken by rescuers , including the Krabi Marine Police , showed the abandoned vessel burning down almost to the waterline before sinking .
A food supplier for supermarket giant Tesco has sacked a farm worker who was caught on camera urinating in a field of vegetables .   A disgusted member of the public snapped the man on his mobile phone after spotting him using the field as a makeshift toilet .   The worker , who can be seen in a high-vis jacket , casually stood in the middle of the crops urinating on the plants - despite a toilet being only 18 metres away .   TH Clements & Son , which owns the field in Benington , Lincolnshire , was alerted and sacked the worker with immediate effect .
-LRB- CNN -RRB- The victory of a 72-year-old former general , Muhammadu Buhari , in the Nigerian elections represents a moment of maturity in West African politics .   Buhari , who some 30 years ago was Nigeria 's harsh military leader , could of course prove to be a disaster ; so many self-described reformers have been .   But the peaceful transition of power from President Goodluck Jonathan to President Buhari is the first of its kind in history .
The former Soviet state has gained the most from the strong pound , which has cut the cost of visiting the continent .   Resorts on its Black Sea coast offer the best value in terms of a meal out , buying a cup of coffee and essentials such as sun cream and a cold drink , according to a study .   Research into an imaginary shopping basket of ten typical holiday purchases showed a total price of # 37.39 for Bulgaria , which is down by 13.6 per cent from last summer .   The figures , compiled for the annual Post Office Holiday Costs Barometer , show the spending basket in Turkey is up by 21.4 per cent on last year , at # 65.70 .
Islamic state militants have released photographs which appear to show the beheading of an ` alleged blasphemer . '   A series of gruesome photographs show a man being led out of a van handcuffed and blindfolded before he is executed by a masked man , wielding a meat cleaver .   His beheading is believed to have taken place in Hama in Syria .   The next photo , which is too disturbing to publish , shows the man after he has been murdered with his severed head placed on his body .
