labels,ext_heter_graph,ext_matchsumm,abs_bart,ext_refresh,abs_two_stage_rl,abs_neusumm,abs_bottom_up,abs_semsim,abs_unilm,ext_bart,ext_banditsumm
inference,0.0,0.5,0.6,0.5,0.1,0.2,0.0,0.6,0.3,0.6,0.5
paraphrase,0.4545454545454545,0.2727272727272727,0.4545454545454545,0.4545454545454545,0.2727272727272727,0.18181818181818182,0.0,1.0,0.4545454545454545,0.4545454545454545,0.36363636363636365
entity,0.9,0.5,0.5,0.5,0.3,0.4,0.4,0.4,0.3,0.5,0.5
inference,0.6923076923076923,0.6923076923076923,0.38461538461538464,0.38461538461538464,0.15384615384615385,0.8461538461538461,0.23076923076923078,0.46153846153846156,0.3076923076923077,0.38461538461538464,0.38461538461538464
paraphrase,0.5,0.6,0.7,0.5,0.5,0.7,0.7,0.6,0.5,0.7,0.5
inference,0.4,1.0,1.0,1.0,0.8,0.2,0.0,0.4,0.2,1.0,0.2
paraphrase,0.2,0.5,0.5,0.5,0.4,0.2,0.3,0.3,0.3,0.5,0.5
inference,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.0,0.7142857142857143,0.7142857142857143
evidence,0.5,0.4166666666666667,0.5,0.4166666666666667,0.6666666666666666,0.6666666666666666,0.5,0.4166666666666667,0.16666666666666666,0.5,0.5
inference,0.5555555555555556,0.5555555555555556,0.3333333333333333,0.888888888888889,0.4444444444444445,0.888888888888889,0.11111111111111112,0.888888888888889,0.3333333333333333,0.3333333333333333,0.888888888888889
paraphrase,0.4545454545454545,0.8181818181818181,0.6363636363636364,0.4545454545454545,0.2727272727272727,0.0,0.18181818181818182,0.7272727272727273,0.5454545454545454,0.6363636363636364,0.4545454545454545
evidence,0.3333333333333333,0.5333333333333333,0.4666666666666667,0.3333333333333333,0.3333333333333333,0.4666666666666667,0.2,0.5333333333333333,0.4,0.4666666666666667,0.3333333333333333
inference,0.25,0.625,0.625,0.625,0.375,0.5,0.125,0.875,0.375,0.625,0.375
paraphrase,0.8333333333333334,0.4166666666666667,0.5,0.4166666666666667,0.75,0.75,0.75,0.75,0.75,0.5,0.75
inference,0.18181818181818182,0.36363636363636365,0.4545454545454545,0.6363636363636364,0.36363636363636365,0.18181818181818182,0.0,0.09090909090909091,0.2727272727272727,0.4545454545454545,0.18181818181818182
evidence,0.4,0.3,0.6,0.5,0.3,0.5,0.3,0.5,0.6,0.6,0.5
paraphrase,0.4545454545454545,0.4545454545454545,0.5454545454545454,0.4545454545454545,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.4545454545454545,0.2727272727272727,0.5454545454545454,0.4545454545454545
evidence,0.25,0.6666666666666666,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.25
